documentId,fileName,filePath,sheetName,formatType,importedAt,parserVersion,rawMetadata
doc:1a06e142b6e43f2f87958480,★통합 개발부품Master Integrated Dev Part Master v1.2 동유럽향.xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\★통합 개발부품Master Integrated Dev Part Master v1.2 동유럽향.xlsx,Good-2 STS,auto_bom_excel,2026-05-28T03:19:59.095817+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""WSED7612S.ASTQEUE"", ""event"": ""CP DV PV PreMP"", ""newModel"": ""WSED7612S.AS1QEUE""}"
doc:ef1d50e7f2819be35d0b1339,★통합 개발부품Master Integrated Dev Part Master v1.2 싱가포르향 (1) (1).xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\★통합 개발부품Master Integrated Dev Part Master v1.2 싱가포르향 (1) (1).xlsx,Master(Best),auto_bom_excel,2026-05-28T03:19:59.345025+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""WSED7667M.ABMQEUR"", ""event"": ""CP DV PV PreMP"", ""newModel"": ""WSED7667M.ABMZLSL / D""}"
doc:9c5de7ff35d91671de5f3839,★통합 개발부품Master Integrated Dev Part Master v1.2 싱가포르향 (1) (1).xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\★통합 개발부품Master Integrated Dev Part Master v1.2 싱가포르향 (1) (1).xlsx,Master(Better),auto_bom_excel,2026-05-28T03:19:59.349025+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""WSED7665B.AKSQEUR"", ""event"": ""CP DV PV PreMP"", ""newModel"": ""WSED7665B.AKSZLSL / D""}"
doc:9ebb5c7d56cf6ef45012f1d0,★통합 개발부품Master Integrated Dev Part Master v1.2 싱가포르향 (1) (1).xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\★통합 개발부품Master Integrated Dev Part Master v1.2 싱가포르향 (1) (1).xlsx,Master(Good),auto_bom_excel,2026-05-28T03:19:59.352024+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""WSED7612B.AKSQEUR"", ""event"": ""CP DV PV PreMP"", ""newModel"": ""WSED7612B.AKSZLSL / D""}"
doc:d5b985c69e324fbf63f2d24c,개발변경부품Master Best 221226.xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\개발변경부품Master Best 221226.xlsx,개발변경부품리스트,auto_bom_excel,2026-05-28T03:19:59.766902+00:00,bom_graph_etl.v0.1,"{""baseModel"": """", ""event"": ""DV"", ""newModel"": """"}"
doc:eb07056e4baa6915f4eb0e6c,개발변경부품Master Better 221226.xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\개발변경부품Master Better 221226.xlsx,개발변경부품리스트,auto_bom_excel,2026-05-28T03:20:00.225585+00:00,bom_graph_etl.v0.1,"{""baseModel"": """", ""event"": ""DV"", ""newModel"": """"}"
doc:315ef33cf400642bce9833a2,개발변경부품Master Good 221226.xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\개발변경부품Master Good 221226.xlsx,개발변경부품리스트,auto_bom_excel,2026-05-28T03:20:00.704565+00:00,bom_graph_etl.v0.1,"{""baseModel"": """", ""event"": ""DV"", ""newModel"": """"}"
doc:c80ca96182756c5649435f66,개발변경부품리스트 전개모델 230110.xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\개발변경부품리스트 전개모델 230110.xlsx,개발변경부품리스트,auto_bom_excel,2026-05-28T03:20:01.092179+00:00,bom_graph_etl.v0.1,"{""baseModel"": """", ""event"": ""DV"", ""newModel"": """"}"
doc:c97b6b5c0460b9572c020e85,개발부품Master Single IH Final.xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\개발부품Master Single IH Final.xlsx,Master,auto_bom_excel,2026-05-28T03:20:06.186496+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""LSIS6338FE / C1"", ""event"": ""CP DV PV PreMP"", ""newModel"": ""LSIU6339XE / B""}"
doc:256be03faff17f1227f00710,개발부품마스터 BO24 CIS Best.xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\개발부품마스터 BO24 CIS Best.xlsx,Best,auto_bom_excel,2026-05-28T03:20:07.076390+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""LSIS6338F.ARSLSTC"", ""event"": ""CP    PP    DV    PV    PQ"", ""newModel"": """"}"
doc:0bbb912b988b35c4116815e3,개발부품마스터 BO24 CIS Better.xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\개발부품마스터 BO24 CIS Better.xlsx,Better,auto_bom_excel,2026-05-28T03:20:07.672922+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""LSIS6338F.ARSLSTC"", ""event"": ""CP    PP    DV    PV    PQ"", ""newModel"": """"}"
doc:981752ed3c8ba269f2abed54,개발부품마스터 BO24 동유럽 Better 250424.xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\개발부품마스터 BO24 동유럽 Better 250424.xlsx,Better,auto_bom_excel,2026-05-28T03:20:08.281230+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""LSIS6338F.ARSLSTC"", ""event"": ""CP    PP    DV    PV    PQ"", ""newModel"": """"}"
doc:b55df9fde7f5372a7f186f66,이라크 24인치 오븐 부품개발 완료 List 230731.xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\이라크 24인치 오븐 부품개발 완료 List 230731.xlsx,신규 개발리스트,auto_bom_excel,2026-05-28T03:20:09.692432+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""개발모델(Best)"", ""event"": ""Base Model"", ""newModel"": """"}"
doc:252f0105ab4322c6e4e0d77a,이라크 24인치 오븐 부품개발 완료 List 230731.xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\이라크 24인치 오븐 부품개발 완료 List 230731.xlsx,신규 개발리스트_UAE,auto_bom_excel,2026-05-28T03:20:09.710713+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""개발모델(Good)"", ""event"": ""Base Model"", ""newModel"": """"}"
doc:02ab38ce51f03cb8a038327b,참고용_Extra_결과 (1).xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\참고용_Extra_결과 (1).xlsx,Sheet1,auto_bom_excel,2026-05-28T03:20:09.765744+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""WSED7667M / B"", ""event"": ""CP DV PV PreMP"", ""newModel"": ""WS9D7688M / B""}"
doc:094f5701c69d57ed3caf4e2f,통합 개발부품Master Extra v1.1.xlsx,C:\Users\Study\Documents\Codex\2026-05-27\files-mentioned-by-the-user-master\data\통합 개발부품Master Extra v1.1.xlsx,Master,auto_bom_excel,2026-05-28T03:20:10.002271+00:00,bom_graph_etl.v0.1,"{""baseModel"": ""WSED7667M / B"", ""event"": ""CP DV PV PreMP"", ""newModel"": ""WS9D7688M / B""}"
